classification,Total_Trades,Average_PnL,Total_PnL
Extreme Greed,39992,67.89286133909282,2715171.310673
Fear,61837,54.2903996254993,3357155.441642
Greed,50303,42.74355948851957,2150129.272951
Extreme Fear,21400,34.53786207897196,739110.24849
Neutral,37686,34.30771839807886,1292920.67555
